log2_accesses,addr_bits,name,cost,k
3,6,subbitsplit,72.0,3
3,6,gcd_uniq,48.0,
6,6,bitsplit,384.0,
6,6,sort,384.0,
6,6,subbitsplit,352.0,5
6,6,gcd_uniq,384.0,
9,6,bitsplit,3072.0,
9,6,sort,1728.0,
9,6,subbitsplit,1728.0,6
9,6,gcd_uniq,3072.0,
12,6,bitsplit,24576.0,
12,6,sort,12480.0,
12,6,subbitsplit,12480.0,6
12,6,gcd_uniq,24576.0,
15,6,bitsplit,196608.0,
15,6,sort,98496.0,
15,6,subbitsplit,98496.0,6
15,6,gcd_uniq,196608.0,
18,6,bitsplit,1572864.0,
18,6,sort,786624.0,
18,6,subbitsplit,786624.0,6
18,6,gcd_uniq,1572864.0,
0,7,bitsplit,7.0,
0,7,sort,387.0,
0,7,subbitsplit,22.0,2
0,7,gcd_uniq,6.0,
3,7,bitsplit,56.0,
3,7,sort,408.0,
3,7,subbitsplit,80.0,3
3,7,gcd_uniq,48.0,
6,7,bitsplit,448.0,
6,7,sort,576.0,
6,7,subbitsplit,416.0,5
6,7,gcd_uniq,384.0,
9,7,bitsplit,3584.0,
9,7,sort,1920.0,
9,7,subbitsplit,1920.0,7
9,7,gcd_uniq,3072.0,
12,7,bitsplit,28672.0,
12,7,sort,12672.0,
12,7,subbitsplit,12672.0,7
12,7,gcd_uniq,24576.0,
15,7,bitsplit,229376.0,
15,7,sort,98688.0,
15,7,subbitsplit,98688.0,7
15,7,gcd_uniq,196608.0,
18,7,bitsplit,1835008.0,
18,7,sort,786816.0,
18,7,subbitsplit,786816.0,7
18,7,gcd_uniq,1572864.0,
0,8,bitsplit,8.0,
0,8,sort,771.0,
0,8,subbitsplit,24.0,2
0,8,gcd_uniq,6.0,
3,8,bitsplit,64.0,
3,8,sort,792.0,
3,8,subbitsplit,88.0,3
3,8,gcd_uniq,48.0,
6,8,bitsplit,512.0,
6,8,sort,960.0,
6,8,subbitsplit,432.0,4
6,8,gcd_uniq,384.0,
9,8,bitsplit,4096.0,
9,8,sort,2304.0,
9,8,subbitsplit,2304.0,8
9,8,gcd_uniq,3072.0,
12,8,bitsplit,32768.0,
12,8,sort,13056.0,
12,8,subbitsplit,13056.0,8
12,8,gcd_uniq,24576.0,
15,8,bitsplit,262144.0,
15,8,sort,99072.0,
15,8,subbitsplit,99072.0,8
15,8,gcd_uniq,196608.0,
18,8,bitsplit,2097152.0,
18,8,sort,787200.0,
18,8,subbitsplit,787200.0,8
18,8,gcd_uniq,1572864.0,
0,9,bitsplit,9.0,
0,9,sort,1539.0,
0,9,subbitsplit,25.0,2
0,9,gcd_uniq,6.0,
3,9,bitsplit,72.0,
3,9,sort,1560.0,
3,9,subbitsplit,96.0,3
3,9,gcd_uniq,48.0,
6,9,bitsplit,576.0,
6,9,sort,1728.0,
6,9,subbitsplit,496.0,4
6,9,gcd_uniq,384.0,
9,9,bitsplit,4608.0,
9,9,sort,3072.0,
9,9,subbitsplit,2816.0,8
9,9,gcd_uniq,3072.0,
12,9,bitsplit,36864.0,
12,9,sort,13824.0,
12,9,subbitsplit,13824.0,9
12,9,gcd_uniq,24576.0,
15,9,bitsplit,294912.0,
15,9,sort,99840.0,
15,9,subbitsplit,99840.0,9
15,9,gcd_uniq,196608.0,
18,9,bitsplit,2359296.0,
18,9,sort,787968.0,
18,9,subbitsplit,787968.0,9
18,9,gcd_uniq,1572864.0,
0,10,bitsplit,10.0,
0,10,sort,3075.0,
0,10,subbitsplit,27.0,2
0,10,gcd_uniq,6.0,
3,10,bitsplit,80.0,
3,10,sort,3096.0,
3,10,subbitsplit,104.0,3
3,10,gcd_uniq,48.0,
6,10,bitsplit,640.0,
6,10,sort,3264.0,
6,10,subbitsplit,480.0,5
6,10,gcd_uniq,384.0,
9,10,bitsplit,5120.0,
9,10,sort,4608.0,
9,10,subbitsplit,3168.0,5
9,10,gcd_uniq,3072.0,
12,10,bitsplit,40960.0,
12,10,sort,15360.0,
12,10,subbitsplit,15360.0,10
12,10,gcd_uniq,24576.0,
15,10,bitsplit,327680.0,
15,10,sort,101376.0,
15,10,subbitsplit,101376.0,10
15,10,gcd_uniq,196608.0,
18,10,bitsplit,2621440.0,
18,10,sort,789504.0,
18,10,subbitsplit,789504.0,10
18,10,gcd_uniq,1572864.0,
0,11,bitsplit,11.0,
0,11,sort,6147.0,
0,11,subbitsplit,28.0,2
0,11,gcd_uniq,6.0,
3,11,bitsplit,88.0,
3,11,sort,6168.0,
3,11,subbitsplit,112.0,3
3,11,gcd_uniq,48.0,
6,11,bitsplit,704.0,
6,11,sort,6336.0,
6,11,subbitsplit,544.0,5
6,11,gcd_uniq,384.0,
9,11,bitsplit,5632.0,
9,11,sort,7680.0,
9,11,subbitsplit,3680.0,5
9,11,gcd_uniq,3072.0,
12,11,bitsplit,45056.0,
12,11,sort,18432.0,
12,11,subbitsplit,18432.0,11
12,11,gcd_uniq,24576.0,
15,11,bitsplit,360448.0,
15,11,sort,104448.0,
15,11,subbitsplit,104448.0,11
15,11,gcd_uniq,196608.0,
18,11,bitsplit,2883584.0,
18,11,sort,792576.0,
18,11,subbitsplit,792576.0,11
18,11,gcd_uniq,1572864.0,
0,12,bitsplit,12.0,
0,12,sort,12291.0,
0,12,subbitsplit,30.0,2
0,12,gcd_uniq,6.0,
3,12,bitsplit,96.0,
3,12,sort,12312.0,
3,12,subbitsplit,120.0,4
3,12,gcd_uniq,48.0,
6,12,bitsplit,768.0,
6,12,sort,12480.0,
6,12,subbitsplit,576.0,6
6,12,gcd_uniq,384.0,
9,12,bitsplit,6144.0,
9,12,sort,13824.0,
9,12,subbitsplit,3264.0,6
9,12,gcd_uniq,3072.0,
12,12,bitsplit,49152.0,
12,12,sort,24576.0,
12,12,subbitsplit,22528.0,11
12,12,gcd_uniq,24576.0,
15,12,bitsplit,393216.0,
15,12,sort,110592.0,
15,12,subbitsplit,110592.0,12
15,12,gcd_uniq,196608.0,
18,12,bitsplit,3145728.0,
18,12,sort,798720.0,
18,12,subbitsplit,798720.0,12
18,12,gcd_uniq,1572864.0,
0,13,bitsplit,13.0,
0,13,sort,24579.0,
0,13,subbitsplit,31.0,2
0,13,gcd_uniq,6.0,
3,13,bitsplit,104.0,
3,13,sort,24600.0,
3,13,subbitsplit,128.0,4
3,13,gcd_uniq,48.0,
6,13,bitsplit,832.0,
6,13,sort,24768.0,
6,13,subbitsplit,640.0,6
6,13,gcd_uniq,384.0,
9,13,bitsplit,6656.0,
9,13,sort,26112.0,
9,13,subbitsplit,3776.0,6
9,13,gcd_uniq,3072.0,
12,13,bitsplit,53248.0,
12,13,sort,36864.0,
12,13,subbitsplit,26624.0,11
12,13,gcd_uniq,24576.0,
15,13,bitsplit,425984.0,
15,13,sort,122880.0,
15,13,subbitsplit,122880.0,13
15,13,gcd_uniq,196608.0,
18,13,bitsplit,3407872.0,
18,13,sort,811008.0,
18,13,subbitsplit,811008.0,13
18,13,gcd_uniq,1572864.0,
0,14,bitsplit,14.0,
0,14,sort,49155.0,
0,14,subbitsplit,33.0,2
0,14,gcd_uniq,6.0,
3,14,bitsplit,112.0,
3,14,sort,49176.0,
3,14,subbitsplit,136.0,4
3,14,gcd_uniq,48.0,
6,14,bitsplit,896.0,
6,14,sort,49344.0,
6,14,subbitsplit,704.0,6
6,14,gcd_uniq,384.0,
9,14,bitsplit,7168.0,
9,14,sort,50688.0,
9,14,subbitsplit,3456.0,7
9,14,gcd_uniq,3072.0,
12,14,bitsplit,57344.0,
12,14,sort,61440.0,
12,14,subbitsplit,24960.0,7
12,14,gcd_uniq,24576.0,
15,14,bitsplit,458752.0,
15,14,sort,147456.0,
15,14,subbitsplit,147456.0,14
15,14,gcd_uniq,196608.0,
18,14,bitsplit,3670016.0,
18,14,sort,835584.0,
18,14,subbitsplit,835584.0,14
18,14,gcd_uniq,1572864.0,
0,15,bitsplit,15.0,
0,15,sort,98307.0,
0,15,subbitsplit,34.0,2
0,15,gcd_uniq,6.0,
3,15,bitsplit,120.0,
3,15,sort,98328.0,
3,15,subbitsplit,144.0,4
3,15,gcd_uniq,48.0,
6,15,bitsplit,960.0,
6,15,sort,98496.0,
6,15,subbitsplit,672.0,5
6,15,gcd_uniq,384.0,
9,15,bitsplit,7680.0,
9,15,sort,99840.0,
9,15,subbitsplit,3968.0,7
9,15,gcd_uniq,3072.0,
12,15,bitsplit,61440.0,
12,15,sort,110592.0,
12,15,subbitsplit,29056.0,7
12,15,gcd_uniq,24576.0,
15,15,bitsplit,491520.0,
15,15,sort,196608.0,
15,15,subbitsplit,180224.0,14
15,15,gcd_uniq,196608.0,
18,15,bitsplit,3932160.0,
18,15,sort,884736.0,
18,15,subbitsplit,884736.0,15
18,15,gcd_uniq,1572864.0,
0,16,bitsplit,16.0,
0,16,sort,196611.0,
0,16,subbitsplit,36.0,2
0,16,gcd_uniq,6.0,
3,16,bitsplit,128.0,
3,16,sort,196632.0,
3,16,subbitsplit,144.0,4
3,16,gcd_uniq,48.0,
6,16,bitsplit,1024.0,
6,16,sort,196800.0,
6,16,subbitsplit,736.0,5
6,16,gcd_uniq,384.0,
9,16,bitsplit,8192.0,
9,16,sort,198144.0,
9,16,subbitsplit,3840.0,8
9,16,gcd_uniq,3072.0,
12,16,bitsplit,65536.0,
12,16,sort,208896.0,
12,16,subbitsplit,25344.0,8
12,16,gcd_uniq,24576.0,
15,16,bitsplit,524288.0,
15,16,sort,294912.0,
15,16,subbitsplit,197376.0,8
15,16,gcd_uniq,196608.0,
18,16,bitsplit,4194304.0,
18,16,sort,983040.0,
18,16,subbitsplit,983040.0,16
18,16,gcd_uniq,1572864.0,
0,17,bitsplit,17.0,
0,17,sort,393219.0,
0,17,subbitsplit,37.0,2
0,17,gcd_uniq,6.0,
3,17,bitsplit,136.0,
3,17,sort,393240.0,
3,17,subbitsplit,152.0,4
3,17,gcd_uniq,48.0,
6,17,bitsplit,1088.0,
6,17,sort,393408.0,
6,17,subbitsplit,800.0,5
6,17,gcd_uniq,384.0,
9,17,bitsplit,8704.0,
9,17,sort,394752.0,
9,17,subbitsplit,4352.0,8
9,17,gcd_uniq,3072.0,
12,17,bitsplit,69632.0,
12,17,sort,405504.0,
12,17,subbitsplit,29440.0,8
12,17,gcd_uniq,24576.0,
15,17,bitsplit,557056.0,
15,17,sort,491520.0,
15,17,subbitsplit,230144.0,8
15,17,gcd_uniq,196608.0,
18,17,bitsplit,4456448.0,
18,17,sort,1179648.0,
18,17,subbitsplit,1179648.0,17
18,17,gcd_uniq,1572864.0,
0,18,bitsplit,18.0,
0,18,sort,786435.0,
0,18,subbitsplit,39.0,2
0,18,gcd_uniq,6.0,
3,18,bitsplit,144.0,
3,18,sort,786456.0,
3,18,subbitsplit,160.0,4
3,18,gcd_uniq,48.0,
6,18,bitsplit,1152.0,
6,18,sort,786624.0,
6,18,subbitsplit,768.0,6
6,18,gcd_uniq,384.0,
9,18,bitsplit,9216.0,
9,18,sort,787968.0,
9,18,subbitsplit,4608.0,9
9,18,gcd_uniq,3072.0,
12,18,bitsplit,73728.0,
12,18,sort,798720.0,
12,18,subbitsplit,26112.0,9
12,18,gcd_uniq,24576.0,
15,18,bitsplit,589824.0,
15,18,sort,884736.0,
15,18,subbitsplit,198144.0,9
15,18,gcd_uniq,196608.0,
18,18,bitsplit,4718592.0,
18,18,sort,1572864.0,
18,18,subbitsplit,1441792.0,17
18,18,gcd_uniq,1572864.0,
0,19,bitsplit,19.0,
0,19,sort,1572867.0,
0,19,subbitsplit,40.0,2
0,19,gcd_uniq,6.0,
3,19,bitsplit,152.0,
3,19,sort,1572888.0,
3,19,subbitsplit,168.0,4
3,19,gcd_uniq,48.0,
6,19,bitsplit,1216.0,
6,19,sort,1573056.0,
6,19,subbitsplit,832.0,6
6,19,gcd_uniq,384.0,
9,19,bitsplit,9728.0,
9,19,sort,1574400.0,
9,19,subbitsplit,5120.0,9
9,19,gcd_uniq,3072.0,
12,19,bitsplit,77824.0,
12,19,sort,1585152.0,
12,19,subbitsplit,30208.0,9
12,19,gcd_uniq,24576.0,
15,19,bitsplit,622592.0,
15,19,sort,1671168.0,
15,19,subbitsplit,230912.0,9
15,19,gcd_uniq,196608.0,
18,19,bitsplit,4980736.0,
18,19,sort,2359296.0,
18,19,subbitsplit,1703936.0,17
18,19,gcd_uniq,1572864.0,
0,20,bitsplit,20.0,
0,20,sort,3145731.0,
0,20,subbitsplit,42.0,2
0,20,gcd_uniq,6.0,
3,20,bitsplit,160.0,
3,20,sort,3145752.0,
3,20,subbitsplit,168.0,4
3,20,gcd_uniq,48.0,
6,20,bitsplit,1280.0,
6,20,sort,3145920.0,
6,20,subbitsplit,864.0,5
6,20,gcd_uniq,384.0,
9,20,bitsplit,10240.0,
9,20,sort,3147264.0,
9,20,subbitsplit,5632.0,9
9,20,gcd_uniq,3072.0,
12,20,bitsplit,81920.0,
12,20,sort,3158016.0,
12,20,subbitsplit,27648.0,10
12,20,gcd_uniq,24576.0,
15,20,bitsplit,655360.0,
15,20,sort,3244032.0,
15,20,subbitsplit,199680.0,10
15,20,gcd_uniq,196608.0,
18,20,bitsplit,5242880.0,
18,20,sort,3932160.0,
18,20,subbitsplit,1575936.0,10
18,20,gcd_uniq,1572864.0,
0,21,bitsplit,21.0,
0,21,sort,6291459.0,
0,21,subbitsplit,43.0,2
0,21,gcd_uniq,6.0,
3,21,bitsplit,168.0,
3,21,sort,6291480.0,
3,21,subbitsplit,176.0,4
3,21,gcd_uniq,48.0,
6,21,bitsplit,1344.0,
6,21,sort,6291648.0,
6,21,subbitsplit,928.0,5
6,21,gcd_uniq,384.0,
9,21,bitsplit,10752.0,
9,21,sort,6292992.0,
9,21,subbitsplit,4992.0,7
9,21,gcd_uniq,3072.0,
12,21,bitsplit,86016.0,
12,21,sort,6303744.0,
12,21,subbitsplit,31744.0,10
12,21,gcd_uniq,24576.0,
15,21,bitsplit,688128.0,
15,21,sort,6389760.0,
15,21,subbitsplit,232448.0,10
15,21,gcd_uniq,196608.0,
18,21,bitsplit,5505024.0,
18,21,sort,7077888.0,
18,21,subbitsplit,1838080.0,10
18,21,gcd_uniq,1572864.0,
0,22,bitsplit,22.0,
0,22,sort,12582915.0,
0,22,subbitsplit,45.0,2
0,22,gcd_uniq,6.0,
3,22,bitsplit,176.0,
3,22,sort,12582936.0,
3,22,subbitsplit,184.0,4
3,22,gcd_uniq,48.0,
6,22,bitsplit,1408.0,
6,22,sort,12583104.0,
6,22,subbitsplit,992.0,5
6,22,gcd_uniq,384.0,
9,22,bitsplit,11264.0,
9,22,sort,12584448.0,
9,22,subbitsplit,5504.0,7
9,22,gcd_uniq,3072.0,
12,22,bitsplit,90112.0,
12,22,sort,12595200.0,
12,22,subbitsplit,30720.0,11
12,22,gcd_uniq,24576.0,
15,22,bitsplit,720896.0,
15,22,sort,12681216.0,
15,22,subbitsplit,202752.0,11
15,22,gcd_uniq,196608.0,
18,22,bitsplit,5767168.0,
18,22,sort,13369344.0,
18,22,subbitsplit,1579008.0,11
18,22,gcd_uniq,1572864.0,
0,23,bitsplit,23.0,
0,23,sort,25165827.0,
0,23,subbitsplit,46.0,2
0,23,gcd_uniq,6.0,
3,23,bitsplit,184.0,
3,23,sort,25165848.0,
3,23,subbitsplit,192.0,4
3,23,gcd_uniq,48.0,
6,23,bitsplit,1472.0,
6,23,sort,25166016.0,
6,23,subbitsplit,1056.0,5
6,23,gcd_uniq,384.0,
9,23,bitsplit,11776.0,
9,23,sort,25167360.0,
9,23,subbitsplit,6016.0,7
9,23,gcd_uniq,3072.0,
12,23,bitsplit,94208.0,
12,23,sort,25178112.0,
12,23,subbitsplit,34816.0,11
12,23,gcd_uniq,24576.0,
15,23,bitsplit,753664.0,
15,23,sort,25264128.0,
15,23,subbitsplit,235520.0,11
15,23,gcd_uniq,196608.0,
18,23,bitsplit,6029312.0,
18,23,sort,25952256.0,
18,23,subbitsplit,1841152.0,11
18,23,gcd_uniq,1572864.0,
0,24,bitsplit,24.0,
0,24,sort,50331651.0,
0,24,subbitsplit,48.0,3
0,24,gcd_uniq,6.0,
3,24,bitsplit,192.0,
3,24,sort,50331672.0,
3,24,subbitsplit,192.0,4
3,24,gcd_uniq,48.0,
6,24,bitsplit,1536.0,
6,24,sort,50331840.0,
6,24,subbitsplit,960.0,6
6,24,gcd_uniq,384.0,
9,24,bitsplit,12288.0,
9,24,sort,50333184.0,
9,24,subbitsplit,5376.0,8
9,24,gcd_uniq,3072.0,
12,24,bitsplit,98304.0,
12,24,sort,50343936.0,
12,24,subbitsplit,36864.0,12
12,24,gcd_uniq,24576.0,
15,24,bitsplit,786432.0,
15,24,sort,50429952.0,
15,24,subbitsplit,208896.0,12
15,24,gcd_uniq,196608.0,
18,24,bitsplit,6291456.0,
18,24,sort,51118080.0,
18,24,subbitsplit,1585152.0,12
18,24,gcd_uniq,1572864.0,
0,25,bitsplit,25.0,
0,25,sort,100663299.0,
0,25,subbitsplit,49.0,3
0,25,gcd_uniq,6.0,
3,25,bitsplit,200.0,
3,25,sort,100663320.0,
3,25,subbitsplit,200.0,4
3,25,gcd_uniq,48.0,
6,25,bitsplit,1600.0,
6,25,sort,100663488.0,
6,25,subbitsplit,1024.0,6
6,25,gcd_uniq,384.0,
9,25,bitsplit,12800.0,
9,25,sort,100664832.0,
9,25,subbitsplit,5888.0,8
9,25,gcd_uniq,3072.0,
12,25,bitsplit,102400.0,
12,25,sort,100675584.0,
12,25,subbitsplit,40960.0,12
12,25,gcd_uniq,24576.0,
15,25,bitsplit,819200.0,
15,25,sort,100761600.0,
15,25,subbitsplit,241664.0,12
15,25,gcd_uniq,196608.0,
18,25,bitsplit,6553600.0,
18,25,sort,101449728.0,
18,25,subbitsplit,1847296.0,12
18,25,gcd_uniq,1572864.0,
0,26,bitsplit,26.0,
0,26,sort,201326595.0,
0,26,subbitsplit,50.0,3
0,26,gcd_uniq,6.0,
3,26,bitsplit,208.0,
3,26,sort,201326616.0,
3,26,subbitsplit,208.0,4
3,26,gcd_uniq,48.0,
6,26,bitsplit,1664.0,
6,26,sort,201326784.0,
6,26,subbitsplit,1088.0,6
6,26,gcd_uniq,384.0,
9,26,bitsplit,13312.0,
9,26,sort,201328128.0,
9,26,subbitsplit,6400.0,8
9,26,gcd_uniq,3072.0,
12,26,bitsplit,106496.0,
12,26,sort,201338880.0,
12,26,subbitsplit,45056.0,12
12,26,gcd_uniq,24576.0,
15,26,bitsplit,851968.0,
15,26,sort,201424896.0,
15,26,subbitsplit,221184.0,13
15,26,gcd_uniq,196608.0,
18,26,bitsplit,6815744.0,
18,26,sort,202113024.0,
18,26,subbitsplit,1597440.0,13
18,26,gcd_uniq,1572864.0,
0,27,bitsplit,27.0,
0,27,sort,402653187.0,
0,27,subbitsplit,51.0,3
0,27,gcd_uniq,6.0,
3,27,bitsplit,216.0,
3,27,sort,402653208.0,
3,27,subbitsplit,216.0,4
3,27,gcd_uniq,48.0,
6,27,bitsplit,1728.0,
6,27,sort,402653376.0,
6,27,subbitsplit,1152.0,6
6,27,gcd_uniq,384.0,
9,27,bitsplit,13824.0,
9,27,sort,402654720.0,
9,27,subbitsplit,6144.0,9
9,27,gcd_uniq,3072.0,
12,27,bitsplit,110592.0,
12,27,sort,402665472.0,
12,27,subbitsplit,38400.0,9
12,27,gcd_uniq,24576.0,
15,27,bitsplit,884736.0,
15,27,sort,402751488.0,
15,27,subbitsplit,253952.0,13
15,27,gcd_uniq,196608.0,
18,27,bitsplit,7077888.0,
18,27,sort,403439616.0,
18,27,subbitsplit,1859584.0,13
18,27,gcd_uniq,1572864.0,
0,28,bitsplit,28.0,
0,28,sort,805306371.0,
0,28,subbitsplit,52.0,3
0,28,gcd_uniq,6.0,
3,28,bitsplit,224.0,
3,28,sort,805306392.0,
3,28,subbitsplit,216.0,4
3,28,gcd_uniq,48.0,
6,28,bitsplit,1792.0,
6,28,sort,805306560.0,
6,28,subbitsplit,1152.0,7
6,28,gcd_uniq,384.0,
9,28,bitsplit,14336.0,
9,28,sort,805307904.0,
9,28,subbitsplit,6528.0,7
9,28,gcd_uniq,3072.0,
12,28,bitsplit,114688.0,
12,28,sort,805318656.0,
12,28,subbitsplit,42496.0,9
12,28,gcd_uniq,24576.0,
15,28,bitsplit,917504.0,
15,28,sort,805404672.0,
15,28,subbitsplit,245760.0,14
15,28,gcd_uniq,196608.0,
18,28,bitsplit,7340032.0,
18,28,sort,806092800.0,
18,28,subbitsplit,1622016.0,14
18,28,gcd_uniq,1572864.0,
0,29,bitsplit,29.0,
0,29,sort,1610612739.0,
0,29,subbitsplit,53.0,3
0,29,gcd_uniq,6.0,
3,29,bitsplit,232.0,
3,29,sort,1610612760.0,
3,29,subbitsplit,224.0,4
3,29,gcd_uniq,48.0,
6,29,bitsplit,1856.0,
6,29,sort,1610612928.0,
6,29,subbitsplit,1216.0,7
6,29,gcd_uniq,384.0,
9,29,bitsplit,14848.0,
9,29,sort,1610614272.0,
9,29,subbitsplit,7040.0,7
9,29,gcd_uniq,3072.0,
12,29,bitsplit,118784.0,
12,29,sort,1610625024.0,
12,29,subbitsplit,46592.0,9
12,29,gcd_uniq,24576.0,
15,29,bitsplit,950272.0,
15,29,sort,1610711040.0,
15,29,subbitsplit,278528.0,14
15,29,gcd_uniq,196608.0,
18,29,bitsplit,7602176.0,
18,29,sort,1611399168.0,
18,29,subbitsplit,1884160.0,14
18,29,gcd_uniq,1572864.0,
0,30,bitsplit,30.0,
0,30,sort,3221225475.0,
0,30,subbitsplit,54.0,3
0,30,gcd_uniq,6.0,
3,30,bitsplit,240.0,
3,30,sort,3221225496.0,
3,30,subbitsplit,232.0,4
3,30,gcd_uniq,48.0,
6,30,bitsplit,1920.0,
6,30,sort,3221225664.0,
6,30,subbitsplit,1152.0,6
6,30,gcd_uniq,384.0,
9,30,bitsplit,15360.0,
9,30,sort,3221227008.0,
9,30,subbitsplit,7552.0,7
9,30,gcd_uniq,3072.0,
12,30,bitsplit,122880.0,
12,30,sort,3221237760.0,
12,30,subbitsplit,39936.0,10
12,30,gcd_uniq,24576.0,
15,30,bitsplit,983040.0,
15,30,sort,3221323776.0,
15,30,subbitsplit,294912.0,15
15,30,gcd_uniq,196608.0,
18,30,bitsplit,7864320.0,
18,30,sort,3222011904.0,
18,30,subbitsplit,1671168.0,15
18,30,gcd_uniq,1572864.0,
0,31,bitsplit,31.0,
0,31,sort,6442450947.0,
0,31,subbitsplit,55.0,3
0,31,gcd_uniq,6.0,
3,31,bitsplit,248.0,
3,31,sort,6442450968.0,
3,31,subbitsplit,240.0,4
3,31,gcd_uniq,48.0,
6,31,bitsplit,1984.0,
6,31,sort,6442451136.0,
6,31,subbitsplit,1216.0,6
6,31,gcd_uniq,384.0,
9,31,bitsplit,15872.0,
9,31,sort,6442452480.0,
9,31,subbitsplit,8064.0,7
9,31,gcd_uniq,3072.0,
12,31,bitsplit,126976.0,
12,31,sort,6442463232.0,
12,31,subbitsplit,44032.0,10
12,31,gcd_uniq,24576.0,
15,31,bitsplit,1015808.0,
15,31,sort,6442549248.0,
15,31,subbitsplit,327680.0,15
15,31,gcd_uniq,196608.0,
18,31,bitsplit,8126464.0,
18,31,sort,6443237376.0,
18,31,subbitsplit,1933312.0,15
18,31,gcd_uniq,1572864.0,
0,32,bitsplit,32.0,
0,32,sort,12884901891.0,
0,32,subbitsplit,56.0,3
0,32,gcd_uniq,6.0,
3,32,bitsplit,256.0,
3,32,sort,12884901912.0,
3,32,subbitsplit,240.0,4
3,32,gcd_uniq,48.0,
6,32,bitsplit,2048.0,
6,32,sort,12884902080.0,
6,32,subbitsplit,1280.0,6
6,32,gcd_uniq,384.0,
9,32,bitsplit,16384.0,
9,32,sort,12884903424.0,
9,32,subbitsplit,6912.0,8
9,32,gcd_uniq,3072.0,
12,32,bitsplit,131072.0,
12,32,sort,12884914176.0,
12,32,subbitsplit,48128.0,10
12,32,gcd_uniq,24576.0,
15,32,bitsplit,1048576.0,
15,32,sort,12885000192.0,
15,32,subbitsplit,360448.0,15
15,32,gcd_uniq,196608.0,
18,32,bitsplit,8388608.0,
18,32,sort,12885688320.0,
18,32,subbitsplit,1769472.0,16
18,32,gcd_uniq,1572864.0,
0,33,bitsplit,33.0,
0,33,sort,25769803779.0,
0,33,subbitsplit,57.0,3
0,33,gcd_uniq,6.0,
3,33,bitsplit,264.0,
3,33,sort,25769803800.0,
3,33,subbitsplit,248.0,4
3,33,gcd_uniq,48.0,
6,33,bitsplit,2112.0,
6,33,sort,25769803968.0,
6,33,subbitsplit,1344.0,6
6,33,gcd_uniq,384.0,
9,33,bitsplit,16896.0,
9,33,sort,25769805312.0,
9,33,subbitsplit,7424.0,8
9,33,gcd_uniq,3072.0,
12,33,bitsplit,135168.0,
12,33,sort,25769816064.0,
12,33,subbitsplit,43008.0,11
12,33,gcd_uniq,24576.0,
15,33,bitsplit,1081344.0,
15,33,sort,25769902080.0,
15,33,subbitsplit,301056.0,11
15,33,gcd_uniq,196608.0,
18,33,bitsplit,8650752.0,
18,33,sort,25770590208.0,
18,33,subbitsplit,2031616.0,16
18,33,gcd_uniq,1572864.0,
0,34,bitsplit,34.0,
0,34,sort,51539607555.0,
0,34,subbitsplit,58.0,3
0,34,gcd_uniq,6.0,
3,34,bitsplit,272.0,
3,34,sort,51539607576.0,
3,34,subbitsplit,256.0,4
3,34,gcd_uniq,48.0,
6,34,bitsplit,2176.0,
6,34,sort,51539607744.0,
6,34,subbitsplit,1408.0,6
6,34,gcd_uniq,384.0,
9,34,bitsplit,17408.0,
9,34,sort,51539609088.0,
9,34,subbitsplit,7936.0,8
9,34,gcd_uniq,3072.0,
12,34,bitsplit,139264.0,
12,34,sort,51539619840.0,
12,34,subbitsplit,47104.0,11
12,34,gcd_uniq,24576.0,
15,34,bitsplit,1114112.0,
